Username,RepoName,Stars,RepoUrl
bregman-arie,devops-exercises,65000,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,60600,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,53000,https://github.com/localstack/localstack
serverless,serverless,46300,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,26900,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21100,https://github.com/sst/sst
pulumi,pulumi,20500,https://github.com/pulumi/pulumi
getsops,sops,15900,https://github.com/getsops/sops
kubernetes-sigs,kubespray,15700,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15100,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12700,https://github.com/caprover/caprover
donnemartin,awesome-aws,12300,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12100,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11400,https://github.com/aws/aws-cdk
apereo,cas,10800,https://github.com/apereo/cas
phidatahq,phidata,10600,https://github.com/phidatahq/phidata
milanm,DevOps-Roadmap,10600,https://github.com/milanm/DevOps-Roadmap
aws,chalice,10500,https://github.com/aws/chalice
infracost,infracost,10500,https://github.com/infracost/infracost
